18912,2120,1
19184,1196,2
19204,804,3
19224,608,4
19264,494,5
19288,416,6
19352,365,7
19368,322,8
19384,288,9
19404,261,10
19440,240,11
19456,222,12
19456,204,13
19468,191,14
19476,178,15
19476,167,16
19500,159,17
19512,151,18
19524,143,19
19524,136,20
19536,130,21
19540,124,22
19540,119,23
19540,114,24
19552,110,25
19552,106,26
19552,102,27
19552,98,28
19552,95,29
19552,92,30
19552,89,31
19552,86,32
19552,83,33
19552,81,34
19552,78,35
19552,76,36
19556,74,37
19560,72,38
19560,70,39
19568,69,40
19568,67,41
19568,66,42
19568,64,43
19568,63,44
19568,61,45
19568,60,46
19568,59,47
19568,57,48
19568,56,49
19572,55,50
19584,54,51
19596,53,52
19616,53,53
19616,52,54
19616,51,55
19616,50,56
19616,49,57
19640,49,58
19644,48,59
19644,47,60
19656,46,61
19656,46,62
19656,45,63
19672,45,64
19688,44,65
19692,43,66
19700,43,67
19704,42,68
19704,42,69
19708,41,70
19708,41,71
19708,40,72
19716,40,73
19716,39,74
19716,38,75
19716,38,76
19720,38,77
19724,37,78
19732,37,79
19740,36,80
19740,36,81
19740,35,82
19740,35,83
19764,35,84
19764,34,85
19764,34,86
19764,34,87
19768,33,88
19772,33,89
19772,33,90
19772,32,91
19772,32,92
19772,32,93
19780,31,94
19784,31,95
19784,31,96
19784,30,97
19788,30,98
19804,30,99
19804,30,100
19808,29,101
19812,29,102
19812,29,103
19812,29,104
19812,28,105
19824,28,106
19824,28,107
19828,28,108
19848,28,109
19848,27,110
19848,27,111
19856,27,112
19856,27,113
19856,26,114
19856,26,115
19856,26,116
19856,26,117
19856,25,118
19856,25,119
19856,25,120
19860,25,121
19860,25,122
19860,24,123
19860,24,124
19864,24,125
19864,24,126
19864,24,127
19872,24,128
19880,23,129
19884,23,130
19892,23,131
19900,23,132
19900,23,133
19900,23,134
19900,23,135
19900,22,136
19912,22,137
19924,22,138
19944,22,139
19956,22,140
19964,22,141
19964,22,142
19964,22,143
19964,22,144
19964,21,145
19964,21,146
19964,21,147
19968,21,148
19968,21,149
19968,21,150
19968,21,151
19968,20,152
19968,20,153
19968,20,154
19968,20,155
19968,20,156
19968,20,157
19968,20,158
19968,19,159
19968,19,160
19972,19,161
19972,19,162
19976,19,163
19984,19,164
19988,19,165
19988,19,166
19996,19,167
19996,19,168
19996,18,169
19996,18,170
19996,18,171
20000,18,172
20000,18,173
20004,18,174
20004,18,175
20004,18,176
20004,18,177
20012,18,178
20012,17,179
20028,17,180
20036,17,181
20044,17,182
20044,17,183
20048,17,184
20056,17,185
20060,17,186
20060,17,187
20060,17,188
20060,17,189
20060,17,190
20060,17,191
20060,17,192
20060,16,193
20060,16,194
20060,16,195
20060,16,196
20060,16,197
20064,16,198
20064,16,199
20068,16,200
20068,16,201
20068,16,202
20068,16,203
20068,16,204
20068,15,205
20068,15,206
20072,15,207
20072,15,208
20072,15,209
20072,15,210
20072,15,211
20072,15,212
20072,15,213
20072,15,214
20072,15,215
20072,15,216
20072,15,217
20072,15,218
20072,14,219
20072,14,220
20072,14,221
20072,14,222
20072,14,223
20072,14,224
20072,14,225
20072,14,226
20072,14,227
20072,14,228
20072,14,229
20072,14,230
20072,14,231
20072,14,232
20072,14,233
20072,14,234
20072,13,235
20072,13,236
20072,13,237
20072,13,238
20072,13,239
20072,13,240
20072,13,241
20072,13,242
20072,13,243
20072,13,244
20072,13,245
20072,13,246
20072,13,247
20072,13,248
20080,13,249
20084,13,250
20088,13,251
20088,13,252
20088,13,253
20088,12,254
